carga,ejecutor,n_workers,tamano_lote,repeticion,tiempo,cpu_pct
cpu,secuencial,1,200,1,1.3439332080015447,11.7
cpu,secuencial,1,200,2,1.3360957089971635,12.4
cpu,secuencial,1,200,3,1.3207624159986153,13.2
cpu,threads,2,200,1,1.3506107080029324,11.7
cpu,threads,2,200,2,1.3834170420013834,19.3
cpu,threads,2,200,3,1.3709917919986765,22.7
cpu,threads,4,200,1,1.3537669590004953,12.6
cpu,threads,4,200,2,1.3854122080010711,11.7
cpu,threads,4,200,3,1.3633846249940689,11.8
cpu,threads,8,200,1,1.3890503340007854,11.8
cpu,threads,8,200,2,1.3661245000039344,11.7
cpu,threads,8,200,3,1.3608802090020617,11.5
cpu,processes,2,200,1,0.8157000840001274,24.0
cpu,processes,2,200,2,0.7921031669975491,24.0
cpu,processes,2,200,3,0.8166742079993128,23.7
cpu,processes,4,200,1,0.4358558749954682,49.5
cpu,processes,4,200,2,0.4724825830053305,46.6
cpu,processes,4,200,3,0.444708791001176,48.5
cpu,processes,8,200,1,0.43494741700123996,70.6
cpu,processes,8,200,2,0.40550558300310513,75.8
cpu,processes,8,200,3,0.43564750000223285,0.0
cpu,secuencial,1,1000,1,1.3479422079981305,25.9
cpu,secuencial,1,1000,2,1.3662610000028508,14.2
cpu,secuencial,1,1000,3,1.3473523749999003,11.7
cpu,threads,2,1000,1,1.3597256249995553,11.6
cpu,threads,2,1000,2,1.359654750005575,15.1
cpu,threads,2,1000,3,1.3514941670000553,15.9
cpu,threads,4,1000,1,1.3507346659971518,11.5
cpu,threads,4,1000,2,1.348990041995421,11.7
cpu,threads,4,1000,3,1.3524809160007862,12.5
cpu,threads,8,1000,1,1.3628810830050497,23.5
cpu,threads,8,1000,2,1.3440083329987829,22.1
cpu,threads,8,1000,3,1.3763148750003893,20.9
cpu,processes,2,1000,1,0.8029360000000452,23.3
cpu,processes,2,1000,2,0.7959300420043292,24.2
cpu,processes,2,1000,3,0.7975050410022959,23.4
cpu,processes,4,1000,1,0.4507810829964001,45.3
cpu,processes,4,1000,2,0.4626472499949159,45.1
