tamano,tecnologia,n_particiones,tiempo_promedio,tiempo_std
100M,dask,4,10.804595708332878,1.433729404174941
100M,dask,16,5.28995012499945,0.43335870517578096
100M,dask,64,3.8912451530001513,0.26644862622732657
100M,pandas,1,40.681537388663855,6.317706223758108
10M,dask,4,0.8020998053325457,0.12372013238683392
10M,dask,16,0.7396659863346334,0.006423143481595965
10M,dask,64,0.9748953053349396,0.024511758045809174
10M,pandas,1,1.0082678886683425,0.20379136719026913
1M,dask,4,0.21649755533386875,0.11801409753288293
1M,dask,16,0.23495236100279726,0.05245392963854835
1M,dask,64,0.4674662083319466,0.00804620363447445
1M,pandas,1,0.15377493066383371,0.09176569576958771
