tamano,n_filas,tecnologia,n_particiones,repeticion,tiempo,filas_resultado
1M,1000000,pandas,1,1,0.25973162499576574,35
1M,1000000,pandas,1,2,0.1017060419981135,35
1M,1000000,pandas,1,3,0.09988712499762187,35
1M,1000000,dask,4,1,0.3527533329979633,35
1M,1000000,dask,4,2,0.14660912500403356,35
1M,1000000,dask,4,3,0.1501302079996094,35
1M,1000000,dask,16,1,0.2948943750016042,35
1M,1000000,dask,16,2,0.21250670800509397,35
1M,1000000,dask,16,3,0.1974560000016936,35
1M,1000000,dask,64,1,0.4621824589994503,35
1M,1000000,dask,64,2,0.47672645800048485,35
1M,1000000,dask,64,3,0.4634897079959046,35
10M,10000000,pandas,1,1,1.2431893340035458,35
10M,10000000,pandas,1,2,0.8789810410016798,35
10M,10000000,pandas,1,3,0.9026332909998018,35
10M,10000000,dask,4,1,0.9444162910003797,35
10M,10000000,dask,4,2,0.7417204579978716,35
10M,10000000,dask,4,3,0.7201626669993857,35
10M,10000000,dask,16,1,0.733635584001604,35
10M,10000000,dask,16,2,0.7464204999996582,35
10M,10000000,dask,16,3,0.738941875002638,35
10M,10000000,dask,64,1,0.9840084160023252,35
10M,10000000,dask,64,2,0.9471322919998784,35
10M,10000000,dask,64,3,0.9935452080026153,35
100M,100000000,pandas,1,1,33.921625165996375,35
100M,100000000,pandas,1,2,46.436593915997946,35
100M,100000000,pandas,1,3,41.686393083997245,35
100M,100000000,dask,4,1,12.438256250003178,35
100M,100000000,dask,4,2,10.220025916998566,35
100M,100000000,dask,4,3,9.75550495799689,35
100M,100000000,dask,16,1,5.779573457999504,35
100M,100000000,dask,16,2,5.134589624998625,35
100M,100000000,dask,16,3,4.955687292000221,35
100M,100000000,dask,64,1,3.7191865839995444,35
100M,100000000,dask,64,2,3.756385874999978,35
100M,100000000,dask,64,3,4.198163000000932,35
